GEOID,NAME,ABBR,year,index_id,index_label,index_type,category,dimension,index_level,n_members,frac_present,index_score_100
09,Connecticut,CT,2023,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,45.11425384374025
10,Delaware,DE,2023,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,57.490313071233444
11,District of Columbia,DC,2023,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,55.65992741079753
12,Florida,FL,2023,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,57.842009089804776
13,Georgia,GA,2023,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,59.225207678541295
15,Hawaii,HI,2023,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,57.73871998701725
16,Idaho,ID,2023,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,56.85866199393216
17,Illinois,IL,2023,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,42.24810872470279
18,Indiana,IN,2023,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,51.64070996709246
19,Iowa,IA,2023,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,32.87043542199286
20,Kansas,KS,2023,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,38.7313582130292
21,Kentucky,KY,2023,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,46.248711808187906
22,Louisiana,LA,2023,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,55.073069639562135
23,Maine,ME,2023,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,40.21262188268971
24,Maryland,MD,2023,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,50.196035632609664
25,Massachusetts,MA,2023,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,39.54275585458345
26,Michigan,MI,2023,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,48.66576871318135
27,Minnesota,MN,2023,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,35.05303499715181
28,Mississippi,MS,2023,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,50.255060382693486
29,Missouri,MO,2023,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,41.526555716593975
30,Montana,MT,2023,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,46.87899028358777
31,Nebraska,NE,2023,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,42.39952953473385
32,Nevada,NV,2023,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,61.83208438187235
33,New Hampshire,NH,2023,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,33.70652177329212
34,New Jersey,NJ,2023,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,49.6525091444423
