KFF - Custom State Reports

"","United States","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","Dist. of Columbia","Florida","Georgia","Hawaii","Idaho","Illinois","Iowa","Indiana","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming"
"Total Medicaid Spending, FY 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"American Samoa: For purposes of Section 1118 of the Social Security Act, the percentage used under Titles I, X, XIV, and XVI and Part A of Title IV will be 75%."
"American Samoa: For purposes of Section 1118 of the Social Security Act, the percentage used under Titles I, X, XIV, and XVI and Part A of Title IV will be 75%."
"American Samoa: For purposes of Section 1118 of the Social Security Act, the percentage used under Titles I, X, XIV, and XVI and Part A of Title IV will be 75%."
"American Samoa: For purposes of Section 1118 of the Social Security Act, the percentage used under Titles I, X, XIV, and XVI and Part A of Title IV will be 75%."
"American Samoa: For purposes of Section 1118 of the Social Security Act, the percentage used under Titles I, X, XIV, and XVI and Part A of Title IV will be 75%."
"American Samoa: For purposes of Section 1118 of the Social Security Act, the percentage used under Titles I, X, XIV, and XVI and Part A of Title IV will be 75%."
"American Samoa: For purposes of Section 1118 of the Social Security Act, the percentage used under Titles I, X, XIV, and XVI and Part A of Title IV will be 75%."
"American Samoa: For purposes of Section 1118 of the Social Security Act, the percentage used under Titles I, X, XIV, and XVI and Part A of Title IV will be 75%."
"District of Columbia: The values for the District of Columbia in the table were set for the state plan under titles XIX and XXI and for capitation payments and DSH allotments under those titles. For other purposes, including programs remaining in Title IV of the Act, the percentage for D.C. is 50%, unless otherwise specified by law."
"District of Columbia: The values for the District of Columbia in the table were set for the state plan under titles XIX and XXI and for capitation payments and DSH allotments under those titles. For other purposes, including programs remaining in Title IV of the Act, the percentage for D.C. is 50%, unless otherwise specified by law."
"District of Columbia: The values for the District of Columbia in the table were set for the state plan under titles XIX and XXI and for capitation payments and DSH allotments under those titles. For other purposes, including programs remaining in Title IV of the Act, the percentage for D.C. is 50%, unless otherwise specified by law."
"District of Columbia: The values for the District of Columbia in the table were set for the state plan under titles XIX and XXI and for capitation payments and DSH allotments under those titles. For other purposes, including programs remaining in Title IV of the Act, the percentage for D.C. is 50%, unless otherwise specified by law."
"District of Columbia: The values for the District of Columbia in the table were set for the state plan under titles XIX and XXI and for capitation payments and DSH allotments under those titles. For other purposes, including programs remaining in Title IV of the Act, the percentage for D.C. is 50%, unless otherwise specified by law."
"District of Columbia: The values for the District of Columbia in the table were set for the state plan under titles XIX and XXI and for capitation payments and DSH allotments under those titles. For other purposes, including programs remaining in Title IV of the Act, the percentage for D.C. is 50%, unless otherwise specified by law."
"District of Columbia: The values for the District of Columbia in the table were set for the state plan under titles XIX and XXI and for capitation payments and DSH allotments under those titles. For other purposes, including programs remaining in Title IV of the Act, the percentage for D.C. is 50%, unless otherwise specified by law."
"District of Columbia: The values for the District of Columbia in the table were set for the state plan under titles XIX and XXI and for capitation payments and DSH allotments under those titles. For other purposes, including programs remaining in Title IV of the Act, the percentage for D.C. is 50%, unless otherwise specified by law."
"District of Columbia: The values for the District of Columbia in the table were set for the state plan under titles XIX and XXI and for capitation payments and DSH allotments under those titles. For other purposes, including programs remaining in Title IV of the Act, the percentage for D.C. is 50%, unless otherwise specified by law."
"District of Columbia: The values for the District of Columbia in the table were set for the state plan under titles XIX and XXI and for capitation payments and DSH allotments under those titles. For other purposes, including programs remaining in Title IV of the Act, the percentage for D.C. is 50%, unless otherwise specified by law."
"District of Columbia: The values for the District of Columbia in the table were set for the state plan under titles XIX and XXI and for capitation payments and DSH allotments under those titles. For other purposes, including programs remaining in Title IV of the Act, the percentage for D.C. is 50%, unless otherwise specified by law."
"District of Columbia: The values for the District of Columbia in the table were set for the state plan under titles XIX and XXI and for capitation payments and DSH allotments under those titles. For other purposes, including programs remaining in Title IV of the Act, the percentage for D.C. is 50%, unless otherwise specified by law."
"District of Columbia: The values for the District of Columbia in the table were set for the state plan under titles XIX and XXI and for capitation payments and DSH allotments under those titles. For other purposes, including programs remaining in Title IV of the Act, the percentage for D.C. is 50%, unless otherwise specified by law."
"District of Columbia: The values for the District of Columbia in the table were set for the state plan under titles XIX and XXI and for capitation payments and DSH allotments under those titles. For other purposes, including programs remaining in Title IV of the Act, the percentage for D.C. is 50%, unless otherwise specified by law."
"District of Columbia: The values for the District of Columbia in the table were set for the state plan under titles XIX and XXI and for capitation payments and DSH allotments under those titles. For other purposes, including programs remaining in Title IV of the Act, the percentage for D.C. is 50%, unless otherwise specified by law."
"District of Columbia: The values for the District of Columbia in the table were set for the state plan under titles XIX and XXI and for capitation payments and DSH allotments under those titles. For other purposes, including programs remaining in Title IV of the Act, the percentage for D.C. is 50%, unless otherwise specified by law."
"District of Columbia: The values for the District of Columbia in the table were set for the state plan under titles XIX and XXI and for capitation payments and DSH allotments under those titles. For other purposes, including programs remaining in Title IV of the Act, the percentage for D.C. is 50%, unless otherwise specified by law."
"District of Columbia: The values for the District of Columbia in the table were set for the state plan under titles XIX and XXI and for capitation payments and DSH allotments under those titles. For other purposes, including programs remaining in Title IV of the Act, the percentage for D.C. is 50%, unless otherwise specified by law."
"District of Columbia: The values for the District of Columbia in the table were set for the state plan under titles XIX and XXI and for capitation payments and DSH allotments under those titles. For other purposes, including programs remaining in Title IV of the Act, the percentage for D.C. is 50%, unless otherwise specified by law."
"District of Columbia: The values for the District of Columbia in the table were set for the state plan under titles XIX and XXI and for capitation payments and DSH allotments under those titles. For other purposes, including programs remaining in Title IV of the Act, the percentage for D.C. is 50%, unless otherwise specified by law."
"District of Columbia: The values for the District of Columbia in the table were set for the state plan under titles XIX and XXI and for capitation payments and DSH allotments under those titles. For other purposes, including programs remaining in Title IV of the Act, the percentage for D.C. is 50%, unless otherwise specified by law."
"District of Columbia: The FMAP percentages for Alaska and the District of Columbia apply to their Medicaid programs, including DSH allotments, and to the calculation of their enhanced FMAPs under the SCHIP program. For other purposes, including programs remaining in Title IV of the Act, the percentage for Alaska is 53% and for DC is 50%."
"District of Columbia: The FMAP percentages for Alaska and the District of Columbia apply to their Medicaid programs, including DSH allotments, and to the calculation of their enhanced FMAPs under the SCHIP program. For other purposes, including programs remaining in Title IV of the Act, the percentage for Alaska is 53% and for DC is 50%."
"Guam:  The Consolidated Appropriations Act, 2023 set the FMAP for American Samoa, Guam, Northern Marianas, and Virgin Islands permanently at 83% and set the FMAP for Puerto Rico at 76% through FY 2027. For purposes of Section 1118 of the Social Security Act, the percentage used under Titles I, X, XIV, and XVI and Part A of Title IV will be 75%."
"Guam:  The Consolidated Appropriations Act, 2023 set the FMAP for American Samoa, Guam, Northern Marianas, and Virgin Islands permanently at 83% and set the FMAP for Puerto Rico at 76% through FY 2027. For purposes of Section 1118 of the Social Security Act, the percentage used under Titles I, X, XIV, and XVI and Part A of Title IV will be 75%."
"Guam:  The Consolidated Appropriations Act, 2023 set the FMAP for American Samoa, Guam, Northern Marianas, and Virgin Islands permanently at 83% and set the FMAP for Puerto Rico at 76% through FY 2027. For purposes of Section 1118 of the Social Security Act, the percentage used under Titles I, X, XIV, and XVI and Part A of Title IV will be 75%."
